,Name,Entry No.,TimeStamp,Total Time,Status
31,JLUsupafne,5185YZM7415,"( 11:11:32 AM,  11:13:41 AM, 0:02:09)( 11:13:57 AM,  11:14:05 AM, 0:00:08)( 11:18:32 AM,  11:20:49 AM, 0:02:17)( 11:22:47 AM,  12:25:32 PM, 1:02:45)",0 days 01:07:19.000000000,Present
32,JOHCMneasp,,"( 10:56:12 AM,  10:56:32 AM, 0:00:20)",0 days 00:00:20.000000000,Absent
33,JPgNGKveWM,0760HRA9473,"( 11:00:24 AM,  12:11:53 PM, 1:11:29)",0 days 01:11:29.000000000,Present
34,JbWfKitNxH,1786KET3376,"( 10:57:09 AM,  10:59:33 AM, 0:02:24)",0 days 00:02:24.000000000,Absent
35,JmExbcPRxI,0891IZF5983,"( 10:56:12 AM,  10:59:06 AM, 0:02:54)( 10:59:06 AM,  12:24:54 PM, 1:25:48)",0 days 01:28:42.000000000,Present
36,JsHhCPZvkM,4633JRU1026,"( 10:57:23 AM,  10:59:05 AM, 0:01:42)( 10:59:06 AM,  12:25:05 PM, 1:25:59)",0 days 01:27:41.000000000,Present
37,KEodERvKki,9306MWW8126,"( 11:50:25 AM,  11:51:45 AM, 0:01:20)",0 days 00:01:20.000000000,Absent
38,LTRYQrsrCs,5755WIT8097,"( 11:00:06 AM,  11:00:23 AM, 0:00:17)",0 days 00:00:17.000000000,Absent
39,LehNLQnPff,9793KMH0245,"( 11:00:03 AM,  12:19:15 PM, 1:19:12)",0 days 01:19:12.000000000,Present
40,LnQiiJvQNG,1136NFP0311,"( 11:00:56 AM,  11:01:00 AM, 0:00:04)( 11:01:10 AM,  11:07:54 AM, 0:06:44)( 11:10:56 AM,  11:13:12 AM, 0:02:16)",0 days 00:09:04.000000000,Absent
41,LvEaopzuHM,4872WDB5314,"( 10:56:12 AM,  12:25:04 PM, 1:28:52)( 12:26:13 PM,  12:26:30 PM, 0:00:17)",0 days 01:29:09.000000000,Present
42,MFlVKVCGuG,8132RWQ0272,"( 10:57:54 AM,  10:58:13 AM, 0:00:19)( 10:58:20 AM,  10:59:05 AM, 0:00:45)( 10:59:06 AM,  12:25:01 PM, 1:25:55)",0 days 01:26:59.000000000,Present
43,MHSkvimJDu,1783MCY5605,"( 10:56:12 AM,  10:56:18 AM, 0:00:06)( 10:56:27 AM,  10:57:22 AM, 0:00:55)( 10:58:30 AM,  10:59:04 AM, 0:00:34)( 10:59:05 AM,  12:25:02 PM, 1:25:57)",0 days 01:27:32.000000000,Present
44,MXLDchWXkS,9163GPU8119,"( 11:03:18 AM,  11:03:24 AM, 0:00:06)( 11:03:24 AM,  11:32:11 AM, 0:28:47)( 11:36:23 AM,  12:05:40 PM, 0:29:17)( 12:05:51 PM,  12:25:01 PM, 0:19:10)",0 days 01:17:20.000000000,Present
45,MYzBWuAQzc,2958IBE0914,"( 11:06:47 AM,  12:25:04 PM, 1:18:17)",0 days 01:18:17.000000000,Present
46,MlygvhKdHJ,8672HZK3729,"( 11:04:20 AM,  11:05:16 AM, 0:00:56)",0 days 00:00:56.000000000,Absent
47,NCbaTjBnGl,2470NAC0984,"( 11:00:26 AM,  11:01:14 AM, 0:00:48)( 11:01:15 AM,  12:16:41 PM, 1:15:26)",0 days 01:16:14.000000000,Present
48,NCrOGOVLjP,2363ESD2309,"( 11:00:03 AM,  12:30:00 PM, 1:29:57)",0 days 01:29:57.000000000,Present
49,NDXhUsHKPd,4189MML6687,"( 11:01:42 AM,  11:02:18 AM, 0:00:36)( 11:03:42 AM,  11:41:47 AM, 0:38:05)",0 days 00:38:41.000000000,Absent
50,NLCMcNcLbT,4779EOD3275,"( 11:08:36 AM,  11:21:07 AM, 0:12:31)",0 days 00:12:31.000000000,Absent
51,NhnRmgrWVF,4845TVP2585,"( 11:42:16 AM,  12:25:13 PM, 0:42:57)",0 days 00:42:57.000000000,Present
52,NjQCIWxhIi,1098DOD3024,"( 12:13:37 PM,  12:30:00 PM, 0:16:23)",0 days 00:16:23.000000000,Absent
53,NmjkRDbTLQ,5412FMV4240,"( 11:24:22 AM,  11:26:31 AM, 0:02:09)",0 days 00:02:09.000000000,Absent
54,OGqDsAHXSK,1340IUA3601,"( 11:16:24 AM,  12:30:00 PM, 1:13:36)",0 days 01:13:36.000000000,Present
55,OdCZPrisJv,1549ARU6330,"( 11:01:15 AM,  11:01:32 AM, 0:00:17)( 11:01:32 AM,  12:24:32 PM, 1:23:00)",0 days 01:23:17.000000000,Present
56,OdPQABIWmc,4285MGX8767,"( 11:59:35 AM,  12:02:09 PM, 0:02:34)( 12:02:53 PM,  12:30:00 PM, 0:27:07)",0 days 00:29:41.000000000,Absent
57,PBKTILSvwW,5788LHT3142,"( 10:59:29 AM,  11:02:18 AM, 0:02:49)( 11:17:23 AM,  12:25:50 PM, 1:08:27)",0 days 01:11:16.000000000,Present
58,PgUZopDXHt,6172NKS2349,"( 10:56:32 AM,  10:59:04 AM, 0:02:32)( 10:59:05 AM,  12:25:13 PM, 1:26:08)",0 days 01:28:40.000000000,Present
59,PnMrPHdHma,0832MKG4291,"( 11:07:05 AM,  12:01:45 PM, 0:54:40)",0 days 00:54:40.000000000,Present
60,QMTFYtPXpQ,9003JMW3329,"( 10:58:54 AM,  10:59:04 AM, 0:00:10)( 10:59:05 AM,  12:18:38 PM, 1:19:33)( 12:22:20 PM,  12:30:00 PM, 0:07:40)",0 days 01:27:23.000000000,Present
61,QaqYgKNJvW,2108YUX7895,"( 10:57:44 AM,  10:59:04 AM, 0:01:20)( 10:59:06 AM,  11:36:12 AM, 0:37:06)( 11:37:03 AM,  12:26:07 PM, 0:49:04)",0 days 01:27:30.000000000,Present
62,QdrdUQcvQk,7054SZQ9330,"( 11:12:09 AM,  11:36:04 AM, 0:23:55)",0 days 00:23:55.000000000,Absent
63,QzmlKnrqdM,2574QES4650,"( 11:01:23 AM,  12:30:00 PM, 1:28:37)",0 days 01:28:37.000000000,Present
64,RAyGAtExfl,4170DNR4827,"( 10:57:51 AM,  10:58:22 AM, 0:00:31)( 10:58:57 AM,  10:59:03 AM, 0:00:06)( 10:59:05 AM,  12:25:48 PM, 1:26:43)",0 days 01:27:20.000000000,Present
